장기요양기관기호,기관명,기관종류,급여종류,대표자명,설립구분,지정일자,우편번호,기관주소,기관전화번호,폐업여부
2-46780-00074,우리동네 재가방문간호센터,재가급여제공 장기요양기관,방문간호,최경애,개인,2022-04-14,59455,"전라남도 보성군 보성읍 송재로 208-2, 2층",061-853-9722,운영
3-46780-00064,드림노인복지센터,재가장기요양기관,방문요양,박미라,개인,2019-11-21,59400,전라남도 보성군 문덕면 고인돌길 41-14,061-853-1864,운영
1-46780-00084,보성정다운요양원,시설급여제공 장기요양기관,노인요양공동생활가정,이선식,개인,2024-04-26,59445,전라남도 보성군 노동면 평동로 1059-25,061-853-3675,운영
3-46780-00056,힐링재가노인복지센터,재가장기요양기관,방문요양,한효수,개인,2017-07-07,59415,전라남도 보성군 벌교읍 지곡길 57,061-857-1515,운영
2-46780-00063,보성휴노인복지센터,재가급여제공 장기요양기관,"방문요양,주야간보호",주란희,개인,2019-09-05,59452,전라남도 보성군 보성읍 갱맹골길 221,061-853-8531,운영
2-46780-00058,연산효복지센터,재가급여제공 장기요양기관,주야간보호,은광석,법인,2018-03-02,59418,전라남도 보성군 벌교읍 금산길 107,061-858-5117,운영
2-46780-00083,정성다해재가센터,재가급여제공 장기요양기관,"방문요양,방문목욕",이영수,개인,2024-03-14,59442,전라남도 보성군 미력면 살내2길 32-18,061-852-2739,운영
2-46780-00086,더나은요양의료기,재가급여제공 장기요양기관,복지용구제공사업소,김준범,법인,2024-06-13,59405,전라남도 보성군 복내면 송재로 1829-11,061-853-6405,운영
2-46780-00080,한가족재가복지센터,재가급여제공 장기요양기관,방문요양,유종빈,개인,2023-06-02,59410,전라남도 보성군 율어면 선암길 472,061-852-0778,운영
2-46780-00079,보은재가노인복지센터,재가급여제공 장기요양기관,방문요양,문연수,개인,2023-04-25,59458,"전라남도 보성군 보성읍 현충로 20, 2층",061-852-8667,운영
2-46780-00077,참사랑의료기,재가급여제공 장기요양기관,복지용구제공사업소,황철호,개인,2023-03-20,59426,전라남도 보성군 벌교읍 홍암로 68,061-857-0815,운영
3-46780-00018,우리노인복지센터,재가장기요양기관,복지용구제공사업소,황룡,개인,2008-10-22,59416,전라남도 보성군 벌교읍 녹색로 5001-15,061-858-5444,운영
3-46780-00060,노인요양의료기,재가장기요양기관,복지용구제공사업소,이영진,개인,2018-06-11,59425,"전라남도 보성군 벌교읍 채동선로 219-2, 1층",061-857-7789,운영
2-46780-00090,낙성노인복지센터,재가급여제공 장기요양기관,"방문요양, 방문목욕",김수환,개인,2025-04-22,59413,전라남도 보성군 벌교읍 행정길 36,061-858-2300,운영
2-46780-00091,행복한방문간호센터,재가급여제공 장기요양기관,방문간호,신은경,개인,2025-04-22,59428,전라남도 보성군 벌교읍 태백산맥길 7,061-857-9547,운영
2-46780-00092,효성재가노인복지센터,재가급여제공 장기요양기관,"방문요양, 방문목욕",임수운,개인,2025-10-27,59440,전라남도 보성군 조성면 조성4길 8-1,061-858-4698,운영
,,,,,,,,,,
